"Pos","Name","CT","Amount..Copies.","Target","SampleIDNum","Date","Location","Volume","DilutionFactor","plate_num","standard_slope","standard_intercept","R2","efficiency","log.copies.well","copies.well","vol.well","copies.ul","vol.elution","copies.extraction","copies.ml","averaged"
"A3","UNKNOWN",30.986,,"ecoli",34,"8/9/18","15",525,1,1,-3.39698336444175,37.2411059760409,0.996000786125538,96.960361834983,1.84137080019785,69.4018105098103,3,23.1339368366034,110,2544.73305202638,4.84711057528834,5.77855873689967
"A4","UNKNOWN",30.993,,"ecoli",34,"8/9/18","15",525,1,1,-3.39698336444175,37.2411059760409,0.996000786125538,96.960361834983,1.83931014836385,69.0732909817071,3,23.0244303272357,110,2532.68733599593,4.82416635427795,1.14295435159366
"A5","UNKNOWN",33.707,,"ecoli",34,"8/9/18","15",525,10,1,-3.39698336444175,37.2411059760409,0.996000786125538,96.960361834983,1.04036599443921,10.97402624344,3,36.5800874781334,110,4023.80962259467,7.66439928113271,5.13944043834588
"A6","UNKNOWN",30.903,,"ecoli",42,"8/29/18","post 02",515,1,1,-3.39698336444175,37.2411059760409,0.996000786125538,96.960361834983,1.86580424337241,73.4182863359411,3,24.4727621119804,110,2692.00383231784,5.22719190741328,
"A7","UNKNOWN",30.48,,"ecoli",42,"8/29/18","post 02",515,1,1,-3.39698336444175,37.2411059760409,0.996000786125538,96.960361834983,1.99032648991261,97.7972155585448,3,32.5990718528483,110,3585.89790381331,6.96290855109381,5.25671054524444
"A8","UNKNOWN",33.55,,"ecoli",42,"8/29/18","post 02",515,10,1,-3.39698336444175,37.2411059760409,0.996000786125538,96.960361834983,1.08658347128747,12.2062840266463,3,40.6876134221543,110,4475.63747643698,8.69055820667374,11.0518630100042
"A9","UNKNOWN",29.711,,"ecoli",50,"9/15/18","5",465,1,1,-3.39698336444175,37.2411059760409,0.996000786125538,96.960361834983,2.21670381281904,164.703873426647,3,54.9012911422155,110,6039.14202564371,12.9874022056854,38.0438003665702
"A10","UNKNOWN",29.762,,"ecoli",50,"9/15/18","5",465,1,1,-3.39698336444175,37.2411059760409,0.996000786125538,96.960361834983,2.20169049231419,159.107441542847,3,53.0358138476158,110,5833.93952323774,12.5461065015865,5.88009418813889
"A11","UNKNOWN",33.377,,"ecoli",50,"9/15/18","5",465,10,1,-3.39698336444175,37.2411059760409,0.996000786125538,96.960361834983,1.13751100947057,13.7249575366719,3,45.7498584555731,110,5032.48443011304,10.8225471615334,6.96021955506028
"B3","UNKNOWN",33.415,,"ecoli",35,"8/9/18","16",555,1,1,-3.39698336444175,37.2411059760409,0.996000786125538,96.960361834983,1.1263246138003,13.3759492952447,3,4.45864976508157,110,490.451474158973,0.883696349835987,7.46602933972417
