Pos,Name,CT,Amount [Copies],Target,SampleIDNum,Date,Location,Volume,DilutionFactor
A1,STANDARD,19.777,50000.00,EColi,St1,,,,1
A2,STANDARD,19.607,50000.00,EColi,St1,,,,1
B1,STANDARD,21.67,10000.00,EColi,St2,,,,1
B2,STANDARD,21.643,10000.00,EColi,St2,,,,1
C1,STANDARD,23.364,5000.00,EColi,St3,,,,1
C2,STANDARD,22.948,5000.00,EColi,St3,,,,1
D1,STANDARD,24.881,1000.00,EColi,St4,,,,1
D2,STANDARD,24.919,1000.00,EColi,St4,,,,1
E1,STANDARD,26.497,500.00,EColi,St5,,,,1
E2,STANDARD,26.262,500.00,EColi,St5,,,,1
F1,STANDARD,28.392,100.00,EColi,St6,,,,1
F2,STANDARD,28.445,100.00,EColi,St6,,,,1
G1,STANDARD,29.706,50.00,EColi,St7,,,,1
G2,STANDARD,29.513,50.00,EColi,St7,,,,1
H1,STANDARD,31.876,10.00,EColi,St8,,,,1
H2,STANDARD,31.429,10.00,EColi,St8,,,,1
A3,UNKNOWN,37.47,,EColi,138,1/20/19,S1-B,415,1
A4,UNKNOWN,43.38,,EColi,138,1/20/19,S1-B,415,1
A5,UNKNOWN,,,EColi,138,1/20/19,S1-B,415,10
A6,UNKNOWN,30.283,,EColi,146,1/20/19,S3-S,340,1
A7,UNKNOWN,30.778,,EColi,146,1/20/19,S3-S,340,1
A8,UNKNOWN,34.064,,EColi,146,1/20/19,S3-S,340,10
A9,UNKNOWN,33.294,,EColi,154,1/20/19,S6-M,305,1
A10,UNKNOWN,32.869,,EColi,154,1/20/19,S6-M,305,1
A11,UNKNOWN,34.835,,EColi,154,1/20/19,S6-M,305,10
B3,UNKNOWN,,,EColi,139,1/20/19,S1-M,375,1
B4,UNKNOWN,35.021,,EColi,139,1/20/19,S1-M,375,1
B5,UNKNOWN,,,EColi,139,1/20/19,S1-M,375,10
B6,UNKNOWN,34.672,,EColi,147,1/20/19,S4-B,315,1
B7,UNKNOWN,35.729,,EColi,147,1/20/19,S4-B,315,1
B8,UNKNOWN,36.134,,EColi,147,1/20/19,S4-B,315,10
B9,UNKNOWN,32.07,,EColi,155,1/20/19,S6-S,295,1
B10,UNKNOWN,32.009,,EColi,155,1/20/19,S6-S,295,1
B11,UNKNOWN,38.025,,EColi,155,1/20/19,S6-S,295,10
C3,UNKNOWN,31.117,,EColi,140,1/20/19,S1-S,355,1
C4,UNKNOWN,31.702,,EColi,140,1/20/19,S1-S,355,1
C5,UNKNOWN,,,EColi,140,1/20/19,S1-S,355,10
C6,UNKNOWN,34.731,,EColi,148,1/20/19,S4-M,305,1
C7,UNKNOWN,35.56,,EColi,148,1/20/19,S4-M,305,1
C8,UNKNOWN,37.281,,EColi,148,1/20/19,S4-M,305,10
C9,UNKNOWN,34.416,,EColi,156,1/20/19,S7-B,315,1
C10,UNKNOWN,37.393,,EColi,156,1/20/19,S7-B,315,1
C11,UNKNOWN,,,EColi,156,1/20/19,S7-B,315,10
D3,UNKNOWN,36.361,,EColi,141,1/20/19,S2-B,355,1
D4,UNKNOWN,36.598,,EColi,141,1/20/19,S2-B,355,1
D5,UNKNOWN,,,EColi,141,1/20/19,S2-B,355,10
D6,UNKNOWN,31.225,,EColi,149,1/20/19,S4-S,305,1
D7,UNKNOWN,31.247,,EColi,149,1/20/19,S4-S,305,1
D8,UNKNOWN,37.157,,EColi,149,1/20/19,S4-S,305,10
D9,UNKNOWN,35.548,,EColi,157,1/20/19,S7-M,320,1
D10,UNKNOWN,35.205,,EColi,157,1/20/19,S7-M,320,1
D11,UNKNOWN,,,EColi,157,1/20/19,S7-M,320,10
E3,UNKNOWN,29.659,,EColi,142,1/20/19,S2-M,305,1
E4,UNKNOWN,30.021,,EColi,142,1/20/19,S2-M,305,1
E5,UNKNOWN,,,EColi,142,1/20/19,S2-M,305,10
E6,UNKNOWN,33.98,,EColi,150,1/20/19,S5-B,435,1
E7,UNKNOWN,33.792,,EColi,150,1/20/19,S5-B,435,1
E8,UNKNOWN,,,EColi,150,1/20/19,S5-B,435,10
E9,UNKNOWN,33.896,,EColi,158,1/20/19,S7-S,335,1
E10,UNKNOWN,34.65,,EColi,158,1/20/19,S7-S,335,1
E11,UNKNOWN,36.092,,EColi,158,1/20/19,S7-S,335,10
F3,UNKNOWN,30.209,,EColi,143,1/20/19,S2-S,295,1
F4,UNKNOWN,30.221,,EColi,143,1/20/19,S2-S,295,1
F5,UNKNOWN,,,EColi,143,1/20/19,S2-S,295,10
F6,UNKNOWN,33.281,,EColi,151,1/20/19,S5-M,440,1
F7,UNKNOWN,33.026,,EColi,151,1/20/19,S5-M,440,1
F8,UNKNOWN,,,EColi,151,1/20/19,S5-M,440,10
F9,UNKNOWN,35.235,,EColi,159,1/20/19,S8-B,305,1
F10,UNKNOWN,35.7,,EColi,159,1/20/19,S8-B,305,1
F11,UNKNOWN,37.485,,EColi,159,1/20/19,S8-B,305,10
G3,UNKNOWN,,,EColi,144,1/20/19,S3-B,315,1
G4,UNKNOWN,36.547,,EColi,144,1/20/19,S3-B,315,1
G5,UNKNOWN,,,EColi,144,1/20/19,S3-B,315,10
G6,UNKNOWN,29.669,,EColi,152,1/20/19,S5-S,360,1
G7,UNKNOWN,30.358,,EColi,152,1/20/19,S5-S,360,1
G8,UNKNOWN,34.39,,EColi,152,1/20/19,S5-S,360,10
G9,UNKNOWN,37.852,,EColi,160,1/20/19,S8-M,305,1
G10,UNKNOWN,37.052,,EColi,160,1/20/19,S8-M,305,1
G11,UNKNOWN,36.927,,EColi,160,1/20/19,S8-M,305,10
H3,UNKNOWN,36.251,,EColi,145,1/20/19,S3-M,325,1
H4,UNKNOWN,34.601,,EColi,145,1/20/19,S3-M,325,1
H5,UNKNOWN,,,EColi,145,1/20/19,S3-M,325,10
H6,UNKNOWN,33.1,,EColi,153,1/20/19,S6-B,360,1
H7,UNKNOWN,32.661,,EColi,153,1/20/19,S6-B,360,1
H8,UNKNOWN,35.867,,EColi,153,1/20/19,S6-B,360,10
H9,UNKNOWN,35.484,,EColi,161,1/20/19,S8-S,315,1
H10,UNKNOWN,36.041,,EColi,161,1/20/19,S8-S,315,1
H11,UNKNOWN,,,EColi,161,1/20/19,S8-S,315,10
