Pos,Name,CT,Amount [Copies],Target,SampleIDNum,Date,Location,Volume,DilutionFactor
A1,STANDARD,21.352,50000.00,entero,St1,,,,1
A2,STANDARD,20.897,50000.00,entero,St1,,,,1
B1,STANDARD,23.69,10000.00,entero,St2,,,,1
B2,STANDARD,23.467,10000.00,entero,St2,,,,1
C1,STANDARD,24.487,5000.00,entero,St3,,,,1
C2,STANDARD,24.468,5000.00,entero,St3,,,,1
D1,STANDARD,26.86,1000.00,entero,St4,,,,1
D2,STANDARD,26.945,1000.00,entero,St4,,,,1
E1,STANDARD,28.136,500.00,entero,St5,,,,1
E2,STANDARD,27.787,500.00,entero,St5,,,,1
F1,STANDARD,30.703,100.00,entero,St6,,,,1
F2,STANDARD,29.902,100.00,entero,St6,,,,1
G1,STANDARD,31.794,50.00,entero,St7,,,,1
G2,STANDARD,31.054,50.00,entero,St7,,,,1
H1,STANDARD,33.513,10.00,entero,St8,,,,1
H2,STANDARD,33.869,10.00,entero,St8,,,,1
A3,UNKNOWN,40.484,,entero,138,1/20/19,S1-B,415,1
A4,UNKNOWN,38.851,,entero,138,1/20/19,S1-B,415,1
A5,UNKNOWN,,,entero,138,1/20/19,S1-B,415,10
A6,UNKNOWN,34.274,,entero,146,1/20/19,S3-S,340,1
A7,UNKNOWN,34.084,,entero,146,1/20/19,S3-S,340,1
A8,UNKNOWN,,,entero,146,1/20/19,S3-S,340,10
A9,UNKNOWN,35.983,,entero,154,1/20/19,S6-M,305,1
A10,UNKNOWN,34.553,,entero,154,1/20/19,S6-M,305,1
A11,UNKNOWN,35.793,,entero,154,1/20/19,S6-M,305,10
B3,UNKNOWN,,,entero,139,1/20/19,S1-M,375,1
B4,UNKNOWN,,,entero,139,1/20/19,S1-M,375,1
B5,UNKNOWN,,,entero,139,1/20/19,S1-M,375,10
B6,UNKNOWN,34.467,,entero,147,1/20/19,S4-B,315,1
B7,UNKNOWN,35.014,,entero,147,1/20/19,S4-B,315,1
B8,UNKNOWN,37.147,,entero,147,1/20/19,S4-B,315,10
B9,UNKNOWN,33.561,,entero,155,1/20/19,S6-S,295,1
B10,UNKNOWN,33.629,,entero,155,1/20/19,S6-S,295,1
B11,UNKNOWN,36.957,,entero,155,1/20/19,S6-S,295,10
C3,UNKNOWN,35.638,,entero,140,1/20/19,S1-S,355,1
C4,UNKNOWN,,,entero,140,1/20/19,S1-S,355,1
C5,UNKNOWN,,,entero,140,1/20/19,S1-S,355,10
C6,UNKNOWN,34.57,,entero,148,1/20/19,S4-M,305,1
C7,UNKNOWN,34.872,,entero,148,1/20/19,S4-M,305,1
C8,UNKNOWN,39.986,,entero,148,1/20/19,S4-M,305,10
C9,UNKNOWN,34.332,,entero,156,1/20/19,S7-B,315,1
C10,UNKNOWN,33.813,,entero,156,1/20/19,S7-B,315,1
C11,UNKNOWN,38.246,,entero,156,1/20/19,S7-B,315,10
D3,UNKNOWN,38.287,,entero,141,1/20/19,S2-B,355,1
D4,UNKNOWN,36.809,,entero,141,1/20/19,S2-B,355,1
D5,UNKNOWN,40.54,,entero,141,1/20/19,S2-B,355,10
D6,UNKNOWN,33.582,,entero,149,1/20/19,S4-S,305,1
D7,UNKNOWN,33.905,,entero,149,1/20/19,S4-S,305,1
