Pos,Name,CT,Amount [Copies],Target,SampleIDNum,Date,Location,Volume,DilutionFactor
A1,STANDARD,21.721,50000,ECOLI,1,,,,1
A2,STANDARD,21.596,50000,ECOLI,1,,,,1
B1,STANDARD,24.106,10000,ECOLI,2,,,,1
B2,STANDARD,24.021,10000,ECOLI,2,,,,1
C1,STANDARD,24.893,5000,ECOLI,3,,,,1
C2,STANDARD,24.891,5000,ECOLI,3,,,,1
D1,STANDARD,27.177,1000,ECOLI,4,,,,1
D2,STANDARD,27.277,1000,ECOLI,4,,,,1
E1,STANDARD,28.673,500,ECOLI,5,,,,1
E2,STANDARD,28.394,500,ECOLI,5,,,,1
F1,STANDARD,30.622,100,ECOLI,6,,,,1
F2,STANDARD,30.688,100,ECOLI,6,,,,1
G1,STANDARD,31.612,50,ECOLI,7,,,,1
G2,STANDARD,31.615,50,ECOLI,7,,,,1
H1,STANDARD,33.119,10,ECOLI,8,,,,1
H2,STANDARD,34.097,10,ECOLI,8,,,,1
A3,UNKNOWN,30.255,,ECOLI,58,10/13/18,1,695,1
A4,UNKNOWN,30.53,,ECOLI,58,10/13/18,1,695,1
A5,UNKNOWN,,,ECOLI,58,10/13/18,1,695,10
A6,UNKNOWN,30.701,,ECOLI,66,10/13/18,9,500,1
A7,UNKNOWN,30.848,,ECOLI,66,10/13/18,9,500,1
A8,UNKNOWN,33.635,,ECOLI,66,10/13/18,9,500,10
A9,UNKNOWN,29.029,,ECOLI,95,11/24/18,5,515,1
A10,UNKNOWN,29.754,,ECOLI,95,11/24/18,5,515,1
A11,UNKNOWN,33.325,,ECOLI,95,11/24/18,5,515,10
B3,UNKNOWN,30.863,,ECOLI,59,10/13/18,2,615,1
B4,UNKNOWN,30.561,,ECOLI,59,10/13/18,2,615,1
B5,UNKNOWN,36.372,,ECOLI,59,10/13/18,2,615,10
B6,UNKNOWN,31.064,,ECOLI,67,10/13/18,10,465,1
B7,UNKNOWN,31.631,,ECOLI,67,10/13/18,10,465,1
B8,UNKNOWN,34.524,,ECOLI,67,10/13/18,10,465,10
B9,UNKNOWN,32.524,,ECOLI,96,11/24/18,6,505,1
B10,UNKNOWN,32.055,,ECOLI,96,11/24/18,6,505,1
B11,UNKNOWN,34.584,,ECOLI,96,11/24/18,6,505,10
C3,UNKNOWN,33.019,,ECOLI,60,10/13/18,3,575,1
C4,UNKNOWN,33.165,,ECOLI,60,10/13/18,3,575,1
C5,UNKNOWN,37.097,,ECOLI,60,10/13/18,3,575,10
