Pos,Name,CT,Amount [Copies],Target,SampleIDNum,Date,Location,Volume,DilutionFactor
A1,STANDARD,23.57,"50000.00",entero,1,,,,1
A2,STANDARD,23.374,"50000.00",entero,1,,,,1
B1,STANDARD,24.866,"10000.00",entero,2,,,,1
B2,STANDARD,24.827,"10000.00",entero,2,,,,1
C1,STANDARD,26.74,"5000.00",entero,3,,,,1
C2,STANDARD,26.756,"5000.00",entero,3,,,,1
D1,STANDARD,28.383,"1000.00",entero,4,,,,1
D2,STANDARD,28.254,"1000.00",entero,4,,,,1
E1,STANDARD,30.427,500,entero,5,,,,1
E2,STANDARD,30.215,500,entero,5,,,,1
F1,STANDARD,32.539,100,entero,6,,,,1
F2,STANDARD,32.027,100,entero,6,,,,1
G1,STANDARD,33.729,50,entero,7,,,,1
G2,STANDARD,34.001,50,entero,7,,,,1
H1,STANDARD,35.499,10,entero,8,,,,1
H2,STANDARD,35.748,10,entero,8,,,,1
A3,UNKNOWN,30.522,,entero,58,10/13/18,1,695,1
A4,UNKNOWN,30.802,,entero,58,10/13/18,1,695,1
A5,UNKNOWN,35.125,,entero,58,10/13/18,1,695,10
A6,UNKNOWN,31.3,,entero,66,10/13/18,9,500,1
A7,UNKNOWN,31.708,,entero,66,10/13/18,9,500,1
A8,UNKNOWN,35.578,,entero,66,10/13/18,9,500,10
A9,UNKNOWN,31.968,,entero,95,11/24/18,5,515,1
A10,UNKNOWN,32.526,,entero,95,11/24/18,5,515,1
A11,UNKNOWN,35.353,,entero,95,11/24/18,5,515,10
B3,UNKNOWN,31.626,,entero,59,10/13/18,2,615,1
B4,UNKNOWN,31.574,,entero,59,10/13/18,2,615,1
B5,UNKNOWN,36.975,,entero,59,10/13/18,2,615,10
B6,UNKNOWN,31.603,,entero,67,10/13/18,10,465,1
B7,UNKNOWN,31.632,,entero,67,10/13/18,10,465,1
B8,UNKNOWN,35.035,,entero,67,10/13/18,10,465,10
B9,UNKNOWN,32.294,,entero,96,11/24/18,6,505,1
B10,UNKNOWN,32.724,,entero,96,11/24/18,6,505,1
B11,UNKNOWN,36.758,,entero,96,11/24/18,6,505,10
C3,UNKNOWN,33.489,,entero,60,10/13/18,3,575,1
C4,UNKNOWN,33.351,,entero,60,10/13/18,3,575,1
C5,UNKNOWN,35.454,,entero,60,10/13/18,3,575,10
C6,UNKNOWN,31.405,,entero,68,10/13/18,11,470,1
C7,UNKNOWN,31.341,,entero,68,10/13/18,11,470,1
C8,UNKNOWN,34.954,,entero,68,10/13/18,11,470,10
C9,UNKNOWN,32.236,,entero,97,11/24/18,7,555,1
C10,UNKNOWN,33.254,,entero,97,11/24/18,7,555,1
C11,UNKNOWN,37.175,,entero,97,11/24/18,7,555,10
D3,UNKNOWN,33.742,,entero,61,10/13/18,4,590,1
D4,UNKNOWN,33.765,,entero,61,10/13/18,4,590,1
D5,UNKNOWN,40.923,,entero,61,10/13/18,4,590,10
D6,UNKNOWN,29.703,,entero,69,10/13/18,12,465,1
D7,UNKNOWN,29.725,,entero,69,10/13/18,12,465,1
D8,UNKNOWN,33.815,,entero,69,10/13/18,12,465,10
D9,UNKNOWN,30.629,,entero,98,11/24/18,8,545,1
D10,UNKNOWN,30.471,,entero,98,11/24/18,8,545,1
D11,UNKNOWN,35.102,,entero,98,11/24/18,8,545,10
E3,UNKNOWN,30.004,,entero,62,10/13/18,5,515,1
E4,UNKNOWN,30.338,,entero,62,10/13/18,5,515,1
E5,UNKNOWN,34.812,,entero,62,10/13/18,5,515,10
E6,UNKNOWN,31.128,,entero,91,11/24/18,1,675,1
E7,UNKNOWN,30.641,,entero,91,11/24/18,1,675,1
E8,UNKNOWN,33.811,,entero,91,11/24/18,1,675,10
E9,UNKNOWN,32.315,,entero,99,11/24/18,9,575,1
E10,UNKNOWN,32.716,,entero,99,11/24/18,9,575,1
E11,UNKNOWN,36.737,,entero,99,11/24/18,9,575,10
F3,UNKNOWN,28.506,,entero,63,10/13/18,6,390,1
F4,UNKNOWN,28.421,,entero,63,10/13/18,6,390,1
F5,UNKNOWN,31.381,,entero,63,10/13/18,6,390,10
F6,UNKNOWN,32.171,,entero,92,11/24/18,2,565,1
F7,UNKNOWN,31.792,,entero,92,11/24/18,2,565,1
F8,UNKNOWN,36.756,,entero,92,11/24/18,2,565,10
F9,UNKNOWN,33.337,,entero,100,11/24/18,10,485,1
F10,UNKNOWN,33.875,,entero,100,11/24/18,10,485,1
F11,UNKNOWN,39.794,,entero,100,11/24/18,10,485,10
G3,UNKNOWN,30.596,,entero,64,10/13/18,7,490,1
G4,UNKNOWN,30.746,,entero,64,10/13/18,7,490,1
G5,UNKNOWN,34.541,,entero,64,10/13/18,7,490,10
G6,UNKNOWN,33.37,,entero,93,11/24/18,3,595,1
G7,UNKNOWN,35.693,,entero,93,11/24/18,3,595,1
G8,UNKNOWN,37.401,,entero,93,11/24/18,3,595,10
G9,UNKNOWN,31.052,,entero,101,11/24/18,11,485,1
G10,UNKNOWN,30.895,,entero,101,11/24/18,11,485,1
G11,UNKNOWN,34.304,,entero,101,11/24/18,11,485,10
H3,UNKNOWN,31.589,,entero,65,10/13/18,8,495,1
H4,UNKNOWN,31.728,,entero,65,10/13/18,8,495,1
H5,UNKNOWN,34.491,,entero,65,10/13/18,8,495,10
H6,UNKNOWN,34.407,,entero,94,11/24/18,4,565,1
H7,UNKNOWN,33.949,,entero,94,11/24/18,4,565,1
H8,UNKNOWN,39.05,,entero,94,11/24/18,4,565,10
H9,UNKNOWN,35.897,,entero,blank3,,,,1
H10,UNKNOWN,38.605,,entero,blank3,,,,1
H11,UNKNOWN,,,entero,blank3,,,,1
