"Pos","Name","CT","Amount..Copies.","Target","SampleIDNum","Date","Location","Volume","DilutionFactor","plate_num","standard_slope","standard_intercept","R2","efficiency","log.copies.well","copies.well","vol.well","copies.ul","vol.elution","copies.extraction","copies.ml"
"A3","UNKNOWN",33.407,,"Ecoli","70","10/21/18","Site 1",495,1,4,-3.39646,37.09888,,,1.08697879556951,12.2174000724596,3,4.07246669081986,110,447.971335990185,0.90499259795997
"A4","UNKNOWN",33.844,,"Ecoli","70","10/21/18","Site 1",495,1,4,-3.39646,37.09888,,,0.958315422528162,9.08480108111961,3,3.02826702703987,110,333.109372974386,0.672948228231082
"A5","UNKNOWN",36.752,,"Ecoli","70","10/21/18","Site 1",495,10,4,-3.39646,37.09888,,,0.102129864623755,1.26511459098048,3,4.21704863660158,110,463.875350026174,0.937121919244796
"A6","UNKNOWN",30.417,,"Ecoli","78","10/21/18","Site 5",540,1,4,-3.39646,37.09888,,,1.96730713743133,92.7485518594228,3,30.9161839531409,110,3400.7802348455,6.29774117563982
"A7","UNKNOWN",30.268,,"Ecoli","78","10/21/18","Site 5",540,1,4,-3.39646,37.09888,,,2.01117634242712,102.606847005354,3,34.2022823351181,110,3762.25105686299,6.96713158678331
"A8","UNKNOWN",34.297,,"Ecoli","78","10/21/18","Site 5",540,10,4,-3.39646,37.09888,,,0.824941262373178,6.68253531246302,3,22.2751177082101,110,2450.26294790311,4.53752397759834
"A9","UNKNOWN",29.175,,"Ecoli","86","10/21/18","Site 11",505,1,4,-3.39646,37.09888,,,2.33298198712777,215.269244743253,3,71.7564149144177,110,7893.20564058594,15.6301101793781
"A10","UNKNOWN",29.919,,"Ecoli","86","10/21/18","Site 11",505,1,4,-3.39646,37.09888,,,2.11393038634343,129.996118877508,3,43.3320396258361,110,4766.52435884198,9.43866209671678
"A11","UNKNOWN",33.24,,"Ecoli","86","10/21/18","Site 11",505,10,4,-3.39646,37.09888,,,1.13614763606814,13.6819385667555,3,45.6064618891852,110,5016.71080781037,9.93408080754528
"B3","UNKNOWN",23.673,,"Ecoli","71","10/21/18","Site 1",503,1,4,-3.39646,37.09888,,,3.95290390583137,8972.30246884966,3,2990.76748961655,110,328984.423857821,654.044580234237
