Pos,Name,CT,Amount [Copies],Target,SampleIDNum,Date,Location,Volume,DilutionFactor
A1,STANDARD,22.237,50000.00,entero,1,,,,1
A2,STANDARD,22.231,50000.00,entero,1,,,,1
B1,STANDARD,24.711,10000.00,entero,2,,,,1
B2,STANDARD,24.55,10000.00,entero,2,,,,1
C1,STANDARD,25.739,5000.00,entero,3,,,,1
C2,STANDARD,25.738,5000.00,entero,3,,,,1
D1,STANDARD,28.007,1000.00,entero,4,,,,1
D2,STANDARD,27.999,1000.00,entero,4,,,,1
E1,STANDARD,29.301,500.00,entero,5,,,,1
E2,STANDARD,29.144,500.00,entero,5,,,,1
F1,STANDARD,31.562,100.00,entero,6,,,,1
F2,STANDARD,31.175,100.00,entero,6,,,,1
G1,STANDARD,32.911,50.00,entero,7,,,,1
G2,STANDARD,33.057,50.00,entero,7,,,,1
H1,STANDARD,35.692,10.00,entero,8,,,,1
H2,STANDARD,34.3,10.00,entero,8,,,,1
A3,UNKNOWN,34.129,,entero,70,10/21/18,Site 1,495,1
A4,UNKNOWN,34.863,,entero,70,10/21/18,Site 1,495,1
A5,UNKNOWN,36.924,,entero,70,10/21/18,Site 1,495,10
A6,UNKNOWN,32.764,,entero,78,10/21/18,Site 5,540,1
A7,UNKNOWN,32.704,,entero,78,10/21/18,Site 5,540,1
A8,UNKNOWN,36.384,,entero,78,10/21/18,Site 5,540,10
A9,UNKNOWN,34.535,,entero,86,10/21/18,Site 11,505,1
A10,UNKNOWN,33.886,,entero,86,10/21/18,Site 11,505,1
A11,UNKNOWN,37.454,,entero,86,10/21/18,Site 11,505,10
B3,UNKNOWN,35.803,,entero,71,10/21/18,Site 1,503,1
B4,UNKNOWN,35.856,,entero,71,10/21/18,Site 1,503,1
B5,UNKNOWN,36.495,,entero,71,10/21/18,Site 1,503,10
B6,UNKNOWN,32.8,,entero,79,10/21/18,Site 7,560,1
B7,UNKNOWN,33.054,,entero,79,10/21/18,Site 7,560,1
B8,UNKNOWN,35.669,,entero,79,10/21/18,Site 7,560,10
B9,UNKNOWN,32.93,,entero,87,10/21/18,Site 11,565,1
B10,UNKNOWN,33.32,,entero,87,10/21/18,Site 11,565,1
B11,UNKNOWN,36.363,,entero,87,10/21/18,Site 11,565,10
C3,UNKNOWN,38.352,,entero,72,10/21/18,Site 1,515,1
C4,UNKNOWN,35.755,,entero,72,10/21/18,Site 1,515,1
C5,UNKNOWN,39.775,,entero,72,10/21/18,Site 1,515,10
C6,UNKNOWN,33.58,,entero,80,10/21/18,Site 7,560,1
C7,UNKNOWN,33.924,,entero,80,10/21/18,Site 7,560,1
C8,UNKNOWN,37.548,,entero,80,10/21/18,Site 7,560,10
C9,UNKNOWN,35.413,,entero,88,10/21/18,Site 13,565,1
C10,UNKNOWN,37.006,,entero,88,10/21/18,Site 13,565,1
C11,UNKNOWN,,,entero,88,10/21/18,Site 13,565,10
D3,UNKNOWN,34.421,,entero,73,10/21/18,Site 3,575,1
D4,UNKNOWN,34.282,,entero,73,10/21/18,Site 3,575,1
D5,UNKNOWN,36.62,,entero,73,10/21/18,Site 3,575,10
D6,UNKNOWN,32.927,,entero,81,10/21/18,Site 7,550,1
