"Pos","Name","CT","Amount..Copies.","Target","SampleIDNum","Date","Location","Volume","DilutionFactor","plate_num","standard_slope","standard_intercept","R2","efficiency","log.copies.well","copies.well","vol.well","copies.ul","vol.elution","copies.extraction","copies.ml","averaged"
"A3","UNKNOWN",28.659,,"E. Coli",126,"12/15/18",1,530,1,1,-3.42506545034665,37.2893601322066,0.996359673805812,95.8687824011272,2.5197650256094,330.952011934245,3,110.317337311415,110,12134.9071042556,22.896051140105,22.7468492921778
"A4","UNKNOWN",28.624,,"E. Coli",126,"12/15/18",1,530,1,1,-3.42506545034665,37.2893601322066,0.996359673805812,95.8687824011272,2.52998380843484,338.831523432156,3,112.943841144052,110,12423.8225258457,23.4411745770674,2.20821347797035
"A5","UNKNOWN",32.15,,"E. Coli",126,"12/15/18",1,530,10,1,-3.42506545034665,37.2893601322066,0.996359673805812,95.8687824011272,1.50051443007796,31.6602565758038,3,105.534188586013,110,11608.7607444614,21.9033221593611,0.950606521411846
"A6","UNKNOWN",29.7,,"E. Coli",134,"12/15/18",9,500,1,1,-3.42506545034665,37.2893601322066,0.996359673805812,95.8687824011272,2.21582922785855,164.372525477197,3,54.7908418257323,110,6026.99260083055,12.0539852016611,0.754454758689691
"A7","UNKNOWN",30.231,,"E. Coli",134,"12/15/18",9,500,1,1,-3.42506545034665,37.2893601322066,0.996359673805812,95.8687824011272,2.06079569413549,115.025914335191,3,38.3419714450638,110,4217.61685895702,8.43523371791403,4.72328289648493
"A8","UNKNOWN",33.384,,"E. Coli",134,"12/15/18",9,500,10,1,-3.42506545034665,37.2893601322066,0.996359673805812,95.8687824011272,1.14022934417541,13.8111341661869,3,46.0371138872896,110,5064.08252760186,10.1281650552037,4.87131657897616
"A9","UNKNOWN",28.571,,"E. Coli",166,"1/26/19",5,370,1,1,-3.42506545034665,37.2893601322066,0.996359673805812,95.8687824011272,2.54545796528478,351.121938302819,3,117.04064610094,110,12874.4710711034,34.7958677597388,2.37166093104948
"A10","UNKNOWN",28.587,,"E. Coli",166,"1/26/19",5,370,1,1,-3.42506545034665,37.2893601322066,0.996359673805812,95.8687824011272,2.54078652170744,347.36537135041,3,115.788457116803,110,12736.7302828484,34.4235953590496,5.93572429392269
"A11","UNKNOWN",32.068,,"E. Coli",166,"1/26/19",5,370,10,1,-3.42506545034665,37.2893601322066,0.996359673805812,95.8687824011272,1.52445557841184,33.4545797258059,3,111.515265752686,110,12266.6792327955,33.1531871156635,10.2057946582596
"B3","UNKNOWN",32.044,,"E. Coli",127,"12/15/18",2,475,1,1,-3.42506545034665,37.2893601322066,0.996359673805812,95.8687824011272,1.53146274377785,33.9987338527803,3,11.3329112842601,110,1246.62024126861,2.62446366582865,2.98567714545105
