Pos,Name,CT,Amount [Copies],Target,SampleIDNum,Date,Location,Volume,DilutionFactor
A1,STANDARD,23.658,50000.00,genbac,St1,,,,1
A2,STANDARD,23.181,50000.00,genbac,St1,,,,1
B1,STANDARD,25.97,10000.00,genbac,St2,,,,1
B2,STANDARD,25.69,10000.00,genbac,St2,,,,1
C1,STANDARD,26.643,5000.00,genbac,St3,,,,1
C2,STANDARD,26.508,5000.00,genbac,St3,,,,1
D1,STANDARD,29.099,1000.00,genbac,St4,,,,1
D2,STANDARD,29.141,1000.00,genbac,St4,,,,1
E1,STANDARD,30.186,500.00,genbac,St5,,,,1
E2,STANDARD,29.985,500.00,genbac,St5,,,,1
F1,STANDARD,32.523,100.00,genbac,St6,,,,1
F2,STANDARD,32.974,100.00,genbac,St6,,,,1
G1,STANDARD,33.734,50.00,genbac,St7,,,,1
G2,STANDARD,34.684,50.00,genbac,St7,,,,1
H1,STANDARD,36.325,10.00,genbac,St8,,,,1
H2,STANDARD,36.153,10.00,genbac,St8,,,,1
A3,UNKNOWN,24.276,,genbac,126,12/15/18,1,530,1
A4,UNKNOWN,23.996,,genbac,126,12/15/18,1,530,1
A5,UNKNOWN,27.283,,genbac,126,12/15/18,1,530,10
A6,UNKNOWN,26.235,,genbac,134,12/15/18,9,500,1
A7,UNKNOWN,26.443,,genbac,134,12/15/18,9,500,1
A8,UNKNOWN,29.803,,genbac,134,12/15/18,9,500,10
A9,UNKNOWN,26.547,,genbac,166,1/26/19,5,370,1
A10,UNKNOWN,26.299,,genbac,166,1/26/19,5,370,1
A11,UNKNOWN,30.547,,genbac,166,1/26/19,5,370,10
B3,UNKNOWN,25.768,,genbac,127,12/15/18,2,475,1
B4,UNKNOWN,25.596,,genbac,127,12/15/18,2,475,1
B5,UNKNOWN,29.205,,genbac,127,12/15/18,2,475,10
B6,UNKNOWN,25.909,,genbac,135,12/15/18,10,455,1
B7,UNKNOWN,25.964,,genbac,135,12/15/18,10,455,1
B8,UNKNOWN,29.771,,genbac,135,12/15/18,10,455,10
B9,UNKNOWN,25.773,,genbac,167,1/26/19,6,225,1
B10,UNKNOWN,25.333,,genbac,167,1/26/19,6,225,1
B11,UNKNOWN,28.741,,genbac,167,1/26/19,6,225,10
C3,UNKNOWN,29.236,,genbac,128,12/15/18,3,430,1
C4,UNKNOWN,29.053,,genbac,128,12/15/18,3,430,1
C5,UNKNOWN,32.779,,genbac,128,12/15/18,3,430,10
C6,UNKNOWN,26.033,,genbac,136,12/15/18,11,460,1
C7,UNKNOWN,26.289,,genbac,136,12/15/18,11,460,1
C8,UNKNOWN,29.926,,genbac,136,12/15/18,11,460,10
C9,UNKNOWN,27.114,,genbac,168,1/26/19,7,440,1
C10,UNKNOWN,27.234,,genbac,168,1/26/19,7,440,1
C11,UNKNOWN,31.085,,genbac,168,1/26/19,7,440,10
D3,UNKNOWN,28.909,,genbac,129,12/15/18,4,440,1
D4,UNKNOWN,29.237,,genbac,129,12/15/18,4,440,1
D5,UNKNOWN,32.156,,genbac,129,12/15/18,4,440,10
D6,UNKNOWN,26.03,,genbac,137,12/15/18,12,465,1
D7,UNKNOWN,25.988,,genbac,137,12/15/18,12,465,1
D8,UNKNOWN,29.89,,genbac,137,12/15/18,12,465,10
D9,UNKNOWN,24.753,,genbac,169,1/26/19,8,435,1
D10,UNKNOWN,24.779,,genbac,169,1/26/19,8,435,1
D11,UNKNOWN,28.109,,genbac,169,1/26/19,8,435,10
E3,UNKNOWN,25.765,,genbac,130,12/15/18,5,455,1
E4,UNKNOWN,25.826,,genbac,130,12/15/18,5,455,1
E5,UNKNOWN,28.929,,genbac,130,12/15/18,5,455,10
E6,UNKNOWN,25.431,,genbac,162,1/26/19,1,490,1
E7,UNKNOWN,25.373,,genbac,162,1/26/19,1,490,1
E8,UNKNOWN,29.454,,genbac,162,1/26/19,1,490,10
E9,UNKNOWN,21.701,,genbac,170,1/26/19,9,435,1
E10,UNKNOWN,21.784,,genbac,170,1/26/19,9,435,1
