Pos,Name,CT,Amount [Copies],Target,SampleIDNum,Date,Location,Volume,DilutionFactor
A1,STANDARD,23.9,50000.00,Entero,1,,,,1
A2,STANDARD,23.49,50000.00,Entero,1,,,,1
B1,STANDARD,24.467,10000.00,Entero,2,,,,1
B2,STANDARD,24.118,10000.00,Entero,2,,,,1
C1,STANDARD,27.331,5000.00,Entero,3,,,,1
C2,STANDARD,26.835,5000.00,Entero,3,,,,1
D1,STANDARD,27.456,1000.00,Entero,4,,,,1
D2,STANDARD,27.26,1000.00,Entero,4,,,,1
E1,STANDARD,30.194,500.00,Entero,5,,,,1
E2,STANDARD,30.1,500.00,Entero,5,,,,1
F1,STANDARD,31.287,100.00,Entero,6,,,,1
F2,STANDARD,31.081,100.00,Entero,6,,,,1
G1,STANDARD,33.956,50.00,Entero,7,,,,1
G2,STANDARD,33.686,50.00,Entero,7,,,,1
H1,STANDARD,35.325,10.00,Entero,8,,,,1
H2,STANDARD,34.163,10.00,Entero,8,,,,1
A3,UNKNOWN,30.584,,Entero,10,8/3/18,1,575,1
A4,UNKNOWN,30.216,,Entero,10,8/3/18,1,575,1
A5,UNKNOWN,35.042,,Entero,10,8/3/18,1,575,10
A6,UNKNOWN,29.353,,Entero,18,8/3/18,9,335,1
A7,UNKNOWN,29.472,,Entero,18,8/3/18,9,335,1
A8,UNKNOWN,34.099,,Entero,18,8/3/18,9,335,10
A9,UNKNOWN,7.19,,Entero,26,8/9/18,7,415,1
A10,UNKNOWN,29.857,,Entero,26,8/9/18,7,415,1
A11,UNKNOWN,35.204,,Entero,26,8/9/18,7,415,10
B3,UNKNOWN,28.56,,Entero,11,8/3/18,2,485,1
B4,UNKNOWN,28.573,,Entero,11,8/3/18,2,485,1
B5,UNKNOWN,31.825,,Entero,11,8/3/18,2,485,10
B6,UNKNOWN,31.877,,Entero,19,8/3/18,10,465,1
B7,UNKNOWN,32.419,,Entero,19,8/3/18,10,465,1
B8,UNKNOWN,34.058,,Entero,19,8/3/18,10,465,10
B9,UNKNOWN,40.166,,Entero,27,8/9/18,8,565,1
B10,UNKNOWN,39.47,,Entero,27,8/9/18,8,565,1
B11,UNKNOWN,,,Entero,27,8/9/18,8,565,10
C3,UNKNOWN,29.582,,Entero,12,8/3/18,3,465,1
C4,UNKNOWN,29.818,,Entero,12,8/3/18,3,465,1
C5,UNKNOWN,33.311,,Entero,12,8/3/18,3,465,10
C6,UNKNOWN,32.265,,Entero,20,8/9/18,1,545,1
C7,UNKNOWN,31.845,,Entero,20,8/9/18,1,545,1
C8,UNKNOWN,36.245,,Entero,20,8/9/18,1,545,10
C9,UNKNOWN,28.122,,Entero,28,8/9/18,9,240,1
C10,UNKNOWN,32.234,,Entero,28,8/9/18,9,240,1
C11,UNKNOWN,34.9,,Entero,28,8/9/18,9,240,10
D3,UNKNOWN,28.835,,Entero,13,8/3/18,4,265,1
D4,UNKNOWN,28.988,,Entero,13,8/3/18,4,265,1
D5,UNKNOWN,33.419,,Entero,13,8/3/18,4,265,10
D6,UNKNOWN,34.722,,Entero,21,8/9/18,2,495,1
D7,UNKNOWN,35.719,,Entero,21,8/9/18,2,495,1
D8,UNKNOWN,40.592,,Entero,21,8/9/18,2,495,10
D9,UNKNOWN,11.238,,Entero,29,8/9/18,10,545,1
D10,UNKNOWN,35.269,,Entero,29,8/9/18,10,545,1
D11,UNKNOWN,40.971,,Entero,29,8/9/18,10,545,10
E3,UNKNOWN,29.322,,Entero,14,8/3/18,5,365,1
E4,UNKNOWN,29.44,,Entero,14,8/3/18,5,365,1
E5,UNKNOWN,33.404,,Entero,14,8/3/18,5,365,10
E6,UNKNOWN,28.246,,Entero,22,8/9/18,3,265,1
E7,UNKNOWN,28.351,,Entero,22,8/9/18,3,265,1
E8,UNKNOWN,31.428,,Entero,22,8/9/18,3,265,10
E9,UNKNOWN,25.834,,Entero,30,8/9/18,11,240,1
E10,UNKNOWN,29.017,,Entero,30,8/9/18,11,240,1
E11,UNKNOWN,32.195,,Entero,30,8/9/18,11,240,10
F3,UNKNOWN,29.119,,Entero,15,8/3/18,6,405,1
F4,UNKNOWN,29.221,,Entero,15,8/3/18,6,405,1
F5,UNKNOWN,32.651,,Entero,15,8/3/18,6,405,10
F6,UNKNOWN,31.16,,Entero,23,8/9/18,4,515,1
F7,UNKNOWN,31.127,,Entero,23,8/9/18,4,515,1
F8,UNKNOWN,33.363,,Entero,23,8/9/18,4,515,10
F9,UNKNOWN,23.788,,Entero,31,8/9/18,12,585,1
F10,UNKNOWN,31.234,,Entero,31,8/9/18,12,585,1
F11,UNKNOWN,33.853,,Entero,31,8/9/18,12,585,10
G3,UNKNOWN,31.118,,Entero,16,8/3/18,7,495,1
G4,UNKNOWN,30.676,,Entero,16,8/3/18,7,495,1
G5,UNKNOWN,34.723,,Entero,16,8/3/18,7,495,10
G6,UNKNOWN,28.437,,Entero,24,8/9/18,5,265,1
G7,UNKNOWN,28.878,,Entero,24,8/9/18,5,265,1
G8,UNKNOWN,30.926,,Entero,24,8/9/18,5,265,10
G9,UNKNOWN,39.875,,Entero,32,8/9/18,13,330,1
G10,UNKNOWN,29.445,,Entero,32,8/9/18,13,330,1
G11,UNKNOWN,31.61,,Entero,32,8/9/18,13,330,10
H3,UNKNOWN,32.335,,Entero,17,8/3/18,8,485,1
H4,UNKNOWN,32.987,,Entero,17,8/3/18,8,485,1
H5,UNKNOWN,34.294,,Entero,17,8/3/18,8,485,10
H6,UNKNOWN,33.798,,Entero,25,8/9/18,6,485,1
H7,UNKNOWN,34.133,,Entero,25,8/9/18,6,485,1
H8,UNKNOWN,36.316,,Entero,25,8/9/18,6,485,10
H9,UNKNOWN,36.651,,Entero,33,8/9/18,14,635,1
H10,UNKNOWN,36.888,,Entero,33,8/9/18,14,635,1
H11,UNKNOWN,,,Entero,33,8/9/18,14,635,10
