"SampleIDNum","copies.ml"
10,619.98590868039
11,15099.6096079677
12,849.56223528234
13,1917.61056961189
14,992.177598671646
15,8805.80535735926
16,572.006571902182
17,997.990494927476
18,2274.20858725569
19,501.020519661895
20,652.579140963358
21,399.482879225612
22,7143.941370256
23,2602.17956248792
24,13441.5970087187
25,148.549948370036
26,3161.5501681314
27,119.381008484568
28,1206.8165828981
29,244.755121108601
30,4288.05646231978
31,567.191243132238
32,7671.62030167991
33,22.7792849025836
