"SampleIDNum","copies.ml"
220,14.9137556049755
221,17.2991343952828
222,15.9565363091631
223,16.610179955932
224,23.2699259728833
225,95.454650058765
226,22.7949766143632
227,8.77288839731045
228,111.483942072021
229,29.0347635023363
230,43.0642459779846
231,141.338107239829
232,78.7877379211122
233,97.9388719386931
234,87.6681569685331
235,53.9309988231303
236,66.3236081381212
237,160.722446368628
238,216.237938734512
239,56.822444245366
240,57.2531867360061
241,218.780119225519
242,208.385522730334
243,97.8173909959755
