Pos,Name,CT,Amount [Copies],Target,SampleIDNum,Date,Location,Volume,DilutionFactor
A1,STANDARD,22.193,50000.00,Ecoli,St1,,,,1
A2,STANDARD,21.819,50000.00,Ecoli,St1,,,,1
B1,STANDARD,24.397,10000.00,Ecoli,St2,,,,1
B2,STANDARD,24.29,10000.00,Ecoli,St2,,,,1
C1,STANDARD,25.667,5000.00,Ecoli,St3,,,,1
C2,STANDARD,25.396,5000.00,Ecoli,St3,,,,1
D1,STANDARD,27.58,1000.00,Ecoli,St4,,,,1
D2,STANDARD,27.598,1000.00,Ecoli,St4,,,,1
E1,STANDARD,29.941,500.00,Ecoli,St5,,,,1
E2,STANDARD,29.257,500.00,Ecoli,St5,,,,1
F1,STANDARD,31.52,100.00,Ecoli,St6,,,,1
F2,STANDARD,32.568,100.00,Ecoli,St6,,,,1
G1,STANDARD,32.128,50.00,Ecoli,St7,,,,1
G2,STANDARD,31.978,50.00,Ecoli,St7,,,,1
H1,STANDARD,34.341,10.00,Ecoli,St8,,,,1
H2,STANDARD,34.085,10.00,Ecoli,St8,,,,1
A3,UNKNOWN,34.979,,Ecoli,220,3/22/19,S1-B,415,1
A4,UNKNOWN,33.869,,Ecoli,220,3/22/19,S1-B,415,1
A5,UNKNOWN,38.721,,Ecoli,220,3/22/19,S1-B,415,10
A6,UNKNOWN,32.998,,Ecoli,228,3/22/19,S3-S,430,1
A7,UNKNOWN,33.274,,Ecoli,228,3/22/19,S3-S,430,1
A8,UNKNOWN,36.329,,Ecoli,228,3/22/19,S3-S,430,10
A9,UNKNOWN,33.987,,Ecoli,236,3/22/19,S6-M,465,1
A10,UNKNOWN,34.637,,Ecoli,236,3/22/19,S6-M,465,1
A11,UNKNOWN,38.052,,Ecoli,236,3/22/19,S6-M,465,10
B3,UNKNOWN,34.023,,Ecoli,221,3/22/19,S1-M,325,1
B4,UNKNOWN,35.003,,Ecoli,221,3/22/19,S1-M,325,1
B5,UNKNOWN,38.342,,Ecoli,221,3/22/19,S1-M,325,10
B6,UNKNOWN,35.631,,Ecoli,229,3/22/19,S4-B,463,1
B7,UNKNOWN,35.665,,Ecoli,229,3/22/19,S4-B,463,1
B8,UNKNOWN,39.255,,Ecoli,229,3/22/19,S4-B,463,10
B9,UNKNOWN,32.883,,Ecoli,237,3/22/19,S6-S,475,1
B10,UNKNOWN,32.57,,Ecoli,237,3/22/19,S6-S,475,1
B11,UNKNOWN,35.35,,Ecoli,237,3/22/19,S6-S,475,10
C3,UNKNOWN,34.516,,Ecoli,222,3/22/19,S1-S,445,1
C4,UNKNOWN,34.64,,Ecoli,222,3/22/19,S1-S,445,1
