Pos,Name,CT,Amount [Copies],Target,SampleIDNum,Date,Location,Volume,DilutionFactor
A1,STANDARD,21.149,50000.00,EColi,St1,,,,1
A2,STANDARD,20.934,50000.00,EColi,St1,,,,1
B1,STANDARD,23.173,10000.00,EColi,St2,,,,1
B2,STANDARD,23,10000.00,EColi,St2,,,,1
C1,STANDARD,24.57,5000.00,EColi,St3,,,,1
C2,STANDARD,24.388,5000.00,EColi,St3,,,,1
D1,STANDARD,26.415,1000.00,EColi,St4,,,,1
D2,STANDARD,26.366,1000.00,EColi,St4,,,,1
E1,STANDARD,27.961,500.00,EColi,St5,,,,1
E2,STANDARD,27.699,500.00,EColi,St5,,,,1
F1,STANDARD,29.915,100.00,EColi,St6,,,,1
F2,STANDARD,30.031,100.00,EColi,St6,,,,1
G1,STANDARD,31.402,50.00,EColi,St7,,,,1
G2,STANDARD,31.279,50.00,EColi,St7,,,,1
H1,STANDARD,32.935,10.00,EColi,St8,,,,1
H2,STANDARD,33.132,10.00,EColi,St8,,,,1
A3,UNKNOWN,29.508,,EColi,208,2/23/19,1,555,1
A4,UNKNOWN,29.71,,EColi,208,2/23/19,1,555,1
A5,UNKNOWN,32.639,,EColi,208,2/23/19,1,555,10
A6,UNKNOWN,29.971,,EColi,216,2/23/19,9,440,1
A7,UNKNOWN,30.287,,EColi,216,2/23/19,9,440,1
A8,UNKNOWN,33.024,,EColi,216,2/23/19,9,440,10
A9,UNKNOWN,30.667,,EColi,248,3/23/19,5,385,1
A10,UNKNOWN,30.821,,EColi,248,3/23/19,5,385,1
A11,UNKNOWN,33.792,,EColi,248,3/23/19,5,385,10
B3,UNKNOWN,29.429,,EColi,209,2/23/19,2,495,1
B4,UNKNOWN,29.25,,EColi,209,2/23/19,2,495,1
B5,UNKNOWN,32.161,,EColi,209,2/23/19,2,495,10
B6,UNKNOWN,30.75,,EColi,217,2/23/19,10,405,1
B7,UNKNOWN,31.189,,EColi,217,2/23/19,10,405,1
B8,UNKNOWN,33.691,,EColi,217,2/23/19,10,405,10
B9,UNKNOWN,31.81,,EColi,249,3/23/19,6,265,1
B10,UNKNOWN,31.92,,EColi,249,3/23/19,6,265,1
B11,UNKNOWN,34.502,,EColi,249,3/23/19,6,265,10
C3,UNKNOWN,32.359,,EColi,210,2/23/19,3,460,1
C4,UNKNOWN,32.41,,EColi,210,2/23/19,3,460,1
C5,UNKNOWN,35.881,,EColi,210,2/23/19,3,460,10
C6,UNKNOWN,30.616,,EColi,218,2/23/19,11,395,1
C7,UNKNOWN,30.71,,EColi,218,2/23/19,11,395,1
C8,UNKNOWN,33.613,,EColi,218,2/23/19,11,395,10
C9,UNKNOWN,30.354,,EColi,250,3/23/19,7,450,1
C10,UNKNOWN,30.31,,EColi,250,3/23/19,7,450,1
C11,UNKNOWN,34.627,,EColi,250,3/23/19,7,450,10
D3,UNKNOWN,34.593,,EColi,211,2/23/19,4,475,1
D4,UNKNOWN,33.354,,EColi,211,2/23/19,4,475,1
D5,UNKNOWN,36.774,,EColi,211,2/23/19,4,475,10
D6,UNKNOWN,28.213,,EColi,219,2/23/19,12,405,1
D7,UNKNOWN,28.331,,EColi,219,2/23/19,12,405,1
D8,UNKNOWN,31.618,,EColi,219,2/23/19,12,405,10
