Pos,Name,CT,Amount [Copies],Target,SampleIDNum,Date,Location,Volume,DilutionFactor
A1,STANDARD,24.01,50000.00,genbac,St1,,,,1
A2,STANDARD,24.098,50000.00,genbac,St1,,,,1
B1,STANDARD,26.77,10000.00,genbac,St2,,,,1
B2,STANDARD,26.902,10000.00,genbac,St2,,,,1
C1,STANDARD,27.219,5000.00,genbac,St3,,,,1
C2,STANDARD,27.105,5000.00,genbac,St3,,,,1
D1,STANDARD,30.161,1000.00,genbac,St4,,,,1
D2,STANDARD,29.986,1000.00,genbac,St4,,,,1
E1,STANDARD,30.727,500.00,genbac,St5,,,,1
E2,STANDARD,30.553,500.00,genbac,St5,,,,1
F1,STANDARD,34.041,100.00,genbac,St6,,,,1
F2,STANDARD,34.32,100.00,genbac,St6,,,,1
G1,STANDARD,34.384,50.00,genbac,St7,,,,1
G2,STANDARD,34.275,50.00,genbac,St7,,,,1
H1,STANDARD,36.605,10.00,genbac,St8,,,,1
H2,STANDARD,36.592,10.00,genbac,St8,,,,1
A3,UNKNOWN,24.488,,genbac,208,2/23/19,1,555,1
A4,UNKNOWN,24.395,,genbac,208,2/23/19,1,555,1
A5,UNKNOWN,28.217,,genbac,208,2/23/19,1,555,10
A6,UNKNOWN,25.793,,genbac,216,2/23/19,9,440,1
A7,UNKNOWN,25.95,,genbac,216,2/23/19,9,440,1
A8,UNKNOWN,28.566,,genbac,216,2/23/19,9,440,10
A9,UNKNOWN,26.772,,genbac,248,3/23/19,5,385,1
A10,UNKNOWN,26.916,,genbac,248,3/23/19,5,385,1
A11,UNKNOWN,30.15,,genbac,248,3/23/19,5,385,10
B3,UNKNOWN,22.116,,genbac,209,2/23/19,2,495,1
B4,UNKNOWN,21.947,,genbac,209,2/23/19,2,495,1
B5,UNKNOWN,26.071,,genbac,209,2/23/19,2,495,10
B6,UNKNOWN,25.738,,genbac,217,2/23/19,10,405,1
B7,UNKNOWN,25.183,,genbac,217,2/23/19,10,405,1
B8,UNKNOWN,28.714,,genbac,217,2/23/19,10,405,10
B9,UNKNOWN,25.143,,genbac,249,3/23/19,6,265,1
B10,UNKNOWN,24.978,,genbac,249,3/23/19,6,265,1
B11,UNKNOWN,28.553,,genbac,249,3/23/19,6,265,10
C3,UNKNOWN,26.694,,genbac,210,2/23/19,3,460,1
C4,UNKNOWN,26.588,,genbac,210,2/23/19,3,460,1
C5,UNKNOWN,29.94,,genbac,210,2/23/19,3,460,10
C6,UNKNOWN,27.461,,genbac,218,2/23/19,11,395,1
C7,UNKNOWN,27,,genbac,218,2/23/19,11,395,1
C8,UNKNOWN,30.2,,genbac,218,2/23/19,11,395,10
C9,UNKNOWN,25.894,,genbac,250,3/23/19,7,450,1
C10,UNKNOWN,25.937,,genbac,250,3/23/19,7,450,1
C11,UNKNOWN,29.537,,genbac,250,3/23/19,7,450,10
D3,UNKNOWN,27.238,,genbac,211,2/23/19,4,475,1
D4,UNKNOWN,27.28,,genbac,211,2/23/19,4,475,1
D5,UNKNOWN,30.534,,genbac,211,2/23/19,4,475,10
D6,UNKNOWN,25.053,,genbac,219,2/23/19,12,405,1
D7,UNKNOWN,25.26,,genbac,219,2/23/19,12,405,1
D8,UNKNOWN,28.023,,genbac,219,2/23/19,12,405,10
D9,UNKNOWN,24.933,,genbac,251,3/23/19,8,455,1
D10,UNKNOWN,25.117,,genbac,251,3/23/19,8,455,1
D11,UNKNOWN,28.336,,genbac,251,3/23/19,8,455,10
E3,UNKNOWN,26.173,,genbac,212,2/23/19,5,435,1
E4,UNKNOWN,26.086,,genbac,212,2/23/19,5,435,1
E5,UNKNOWN,29.341,,genbac,212,2/23/19,5,435,10
E6,UNKNOWN,24.85,,genbac,244,3/23/19,1,505,1
E7,UNKNOWN,25.111,,genbac,244,3/23/19,1,505,1
E8,UNKNOWN,27.755,,genbac,244,3/23/19,1,505,10
E9,UNKNOWN,24.818,,genbac,252,3/23/19,9,470,1
E10,UNKNOWN,24.901,,genbac,252,3/23/19,9,470,1
E11,UNKNOWN,28.349,,genbac,252,3/23/19,9,470,10
F3,UNKNOWN,24.592,,genbac,213,2/23/19,6,305,1
F4,UNKNOWN,24.502,,genbac,213,2/23/19,6,305,1
F5,UNKNOWN,28.42,,genbac,213,2/23/19,6,305,10
F6,UNKNOWN,23.372,,genbac,245,3/23/19,2,450,1
F7,UNKNOWN,23.375,,genbac,245,3/23/19,2,450,1
F8,UNKNOWN,26.708,,genbac,245,3/23/19,2,450,10
F9,UNKNOWN,25.163,,genbac,253,3/23/19,10,455,1
F10,UNKNOWN,25.324,,genbac,253,3/23/19,10,455,1
F11,UNKNOWN,28.252,,genbac,253,3/23/19,10,455,10
G3,UNKNOWN,26.518,,genbac,214,2/23/19,7,415,1
G4,UNKNOWN,26.709,,genbac,214,2/23/19,7,415,1
G5,UNKNOWN,29.437,,genbac,214,2/23/19,7,415,10
