"SampleIDNum","copies.ml"
34,7.78354915926023
35,2.96511024684656
36,16.9000396041604
37,15.3960397513374
38,79.6041253254764
39,12.7532325156451
40,29.2132091128993
41,8.35052670460624
42,17.5411622192234
43,21.3894559272873
44,13.8259243184006
45,10.2515788202471
46,137.082077808776
47,21.538410106852
48,5.08019472281641
49,43.693832147205
50,24.8006505486276
51,39.8803036745188
52,63.5338586631808
53,17.3000946858002
54,35.5092957080731
55,4.6943829639489
56,13.0162669085976
57,1.39642374898271
