"SampleIDNum","copies.ml"
174,20.5351143477615
175,11.551597282491
176,76.1923369126547
177,16.6607226501334
178,51.2595398951851
179,499.15150460176
180,11.4168964805678
181,62.0431297178999
182,464.921470966255
183,108.850968884699
184,154.641955969685
185,344.059924412075
186,115.083550737001
187,120.792930346737
188,289.660715666641
189,184.620383187904
190,167.439065607116
191,238.698969174851
192,38.5575616811447
193,152.597477796717
194,203.473394940744
195,127.748655194077
196,116.708176984997
197,113.665197893233
