"SampleIDNum","copies.ml"
10,7.87336742660227
11,21.6354170362897
12,9.99495413802941
13,35.4773705487468
14,20.2953729727295
15,35.11177906435
16,2.34211317210935
17,2.74294779663155
18,26.2885243798482
19,2.98415605898571
20,2.31916331309052
21,0.164417392884169
22,40.4035806177501
23,20.7259205514465
24,93.7943586269897
25,1.05211861743944
26,21.6103569462946
27,0.49822120150065
28,8.78970466963207
29,0.594048972535664
30,27.7016949946155
31,5.2346639996408
32,35.7949098153795
33,0.250129513853181
