"SampleIDNum","copies.ml"
34,1103.38251841661
35,253.523695261215
36,1113.95830207456
37,471.454329489976
38,7976.46490748313
39,2991.85612435817
40,7599.5600151977
41,4889.12374736331
42,1717.60080181324
43,1276.58707282176
44,2312.45871375675
45,7423.54881689934
46,3326.44316155326
47,2542.43116548949
48,309.697739929117
49,2032.09967913079
50,3358.65565721542
51,4140.42576084929
52,4389.97644870368
53,1135.46291138116
54,4098.70547088167
55,308.279872619466
56,4448.48910159529
57,88.8072814777456
