"SampleIDNum","copies.ml"
102,8.9511057390819
103,14.8632050231826
104,55.9685738729716
105,8.04133490326646
106,45.697836063785
107,77.4623004728446
108,18.8922445862448
109,68.039029364841
110,136.646627041223
111,35.355019344146
112,72.9903712703092
113,340.120684650629
114,65.0395411760399
115,134.425718219598
116,239.758868243261
117,75.0575882808954
118,134.286047351471
119,249.792022700122
120,264.676183592929
121,85.9722214864756
122,113.437464321975
123,383.314595955123
124,115.027744268678
125,241.759370340408
