"Pos","Name","CT","Amount..Copies.","Target","SampleIDNum","Date","Location","Volume","DilutionFactor","plate_num","standard_slope","standard_intercept","R2","efficiency","log.copies.well","copies.well","vol.well","copies.ul","vol.elution","copies.extraction","copies.ml"
"A3","UNKNOWN",32.663,,"genbac",102,"11/29/18","Site 17",525,"1",5,-3.44218691749105,39.7483349960497,0.997117177438192,95.214910540308,2.05838182698517,114.388358282878,3,38.1294527609594,110,4194.23980370553,7.98902819753434
"A4","UNKNOWN",32.639,,"genbac",102,"11/29/18","Site 17",525,"1",5,-3.44218691749105,39.7483349960497,0.997117177438192,95.214910540308,2.06535413865077,116.239608521636,3,38.7465361738785,110,4262.11897912664,8.11832186500312
"A5","UNKNOWN",35.662,,"genbac",102,"11/29/18","Site 17",525,"10",5,-3.44218691749105,39.7483349960497,0.997117177438192,95.214910540308,1.18713338177119,15.3862711533322,3,51.2875705111075,110,5641.63275622182,10.7459671547082
"A6","UNKNOWN",28.602,,"genbac",110,"11/29/18","Site 11",425,"1",5,-3.44218691749105,39.7483349960497,0.997117177438192,95.214910540308,3.23815506340198,1730.4340946731,3,576.811364891035,110,63449.2501380138,149.292353265915
"A7","UNKNOWN",28.986,,"genbac",110,"11/29/18","Site 11",425,"1",5,-3.44218691749105,39.7483349960497,0.997117177438192,95.214910540308,3.12659807675237,1338.43744044512,3,446.145813481705,110,49076.0394829876,115.473034077618
"A8","UNKNOWN",32.086,,"genbac",110,"11/29/18","Site 11",425,"10",5,-3.44218691749105,39.7483349960497,0.997117177438192,95.214910540308,2.22600781994565,168.270435972431,3,560.901453241435,110,61699.1598565579,145.174493780136
"A9","UNKNOWN",29.065,,"genbac",118,"11/29/18","Site 5",385,"1",5,-3.44218691749105,39.7483349960497,0.997117177438192,95.214910540308,3.1036475508531,1269.54339651355,3,423.181132171184,110,46549.9245388303,120.908894906053
"A10","UNKNOWN",29.421,,"genbac",118,"11/29/18","Site 5",385,"1",5,-3.44218691749105,39.7483349960497,0.997117177438192,95.214910540308,3.00022492781336,1000.5180495714,3,333.506016523801,110,36685.6618176181,95.2874332925146
"A11","UNKNOWN",31.858,,"genbac",118,"11/29/18","Site 5",385,"10",5,-3.44218691749105,39.7483349960497,0.997117177438192,95.214910540308,2.29224478076885,195.99490454864,3,653.316348495465,110,71864.7983345012,186.661813855847
"B3","UNKNOWN",31.978,,"genbac",103,"11/29/18","Site 17",470,"1",5,-3.44218691749105,39.7483349960497,0.997117177438192,95.214910540308,2.25738322244085,180.876948434976,3,60.2923161449921,110,6632.15477594913,14.1109676084024
"B4","UNKNOWN",32.05,,"genbac",103,"11/29/18","Site 17",470,"1",5,-3.44218691749105,39.7483349960497,0.997117177438192,95.214910540308,2.23646628744405,172.37182804286,3,57.4572760142866,110,6320.30036157153,13.4474475778118
"B5","UNKNOWN",35.139,,"genbac",103,"11/29/18","Site 17",470,"10",5,-3.44218691749105,39.7483349960497,0.997117177438192,95.214910540308,1.33907167348406,21.8309016686368,3,72.7696722287893,110,8004.66394516682,17.0311998833337
"B6","UNKNOWN",30.917,,"genbac",111,"11/29/18","Site 9",395,"1",5,-3.44218691749105,39.7483349960497,0.997117177438192,95.214910540308,2.5656175006576,367.804891466744,3,122.601630488915,110,13486.1793537806,34.1422262121028
"B7","UNKNOWN",30.845,,"genbac",111,"11/29/18","Site 9",395,"1",5,-3.44218691749105,39.7483349960497,0.997117177438192,95.214910540308,2.5865344356544,385.953012991314,3,128.651004330438,110,14151.6104763482,35.8268619654384
"B8","UNKNOWN",34.276,,"genbac",111,"11/29/18","Site 9",395,"10",5,-3.44218691749105,39.7483349960497,0.997117177438192,95.214910540308,1.58978438045961,38.885203889139,3,129.61734629713,110,14257.9080926843,36.0959698548969
"B9","UNKNOWN",28.058,,"genbac",119,"11/29/18","Site 5",375,"1",5,-3.44218691749105,39.7483349960497,0.997117177438192,95.214910540308,3.39619412782225,2489.97007580473,3,829.990025268245,110,91298.9027795069,243.463740745352
"B10","UNKNOWN",27.985,,"genbac",119,"11/29/18","Site 5",375,"1",5,-3.44218691749105,39.7483349960497,0.997117177438192,95.214910540308,3.41740157580512,2614.57783899395,3,871.525946331316,110,95867.8540964448,255.647610923853
"B11","UNKNOWN",31.459,,"genbac",119,"11/29/18","Site 5",375,"10",5,-3.44218691749105,39.7483349960497,0.997117177438192,95.214910540308,2.40815946220946,255.952550895507,3,853.175169651691,110,93849.268661686,250.264716431163
