"Pos","Name","CT","Amount..Copies.","Target","SampleIDNum","Date","Location","Volume","DilutionFactor","plate_num","standard_slope","standard_intercept","R2","efficiency","log.copies.well","copies.well","vol.well","copies.ul","vol.elution","copies.extraction","copies.ml","averaged"
"A3","UNKNOWN",35.437,,"EColi",102,"11/29/18","Site 17",525,1,1,-3.37364331735221,36.7962892809033,0.997697017552355,97.8861729096242,0.402914343052179,2.52879918609616,3,0.842933062032052,110,92.7226368235257,0.176614546330525,
"A4","UNKNOWN",38.511,,"EColi",102,"11/29/18","Site 17",525,1,1,-3.37364331735221,36.7962892809033,0.997697017552355,97.8861729096242,-0.50826674837767,0.310265331946746,3,0.103421777315582,110,11.376395504714,0.0216693247708839,
"A5","UNKNOWN",,,"EColi",102,"11/29/18","Site 17",525,10,1,-3.37364331735221,36.7962892809033,0.997697017552355,97.8861729096242,,,3,,110,,,0.864198772442387
"A6","UNKNOWN",32.89,,"EColi",110,"11/29/18","Site 11",425,1,1,-3.37364331735221,36.7962892809033,0.997697017552355,97.8861729096242,1.15788449265264,14.3841595836221,3,4.79471986120736,110,527.419184732809,1.24098631701837,
"A7","UNKNOWN",32.311,,"EColi",110,"11/29/18","Site 11",425,1,1,-3.37364331735221,36.7962892809033,0.997697017552355,97.8861729096242,1.32950903785039,21.3554652720429,3,7.11848842401429,110,783.033726641572,1.84243229798017,1.0218812196608
"A8","UNKNOWN",,,"EColi",110,"11/29/18","Site 11",425,10,1,-3.37364331735221,36.7962892809033,0.997697017552355,97.8861729096242,,,3,,110,,,1.80798171427241
"A9","UNKNOWN",32.835,,"EColi",118,"11/29/18","Site 5",385,1,1,-3.37364331735221,36.7962892809033,0.997697017552355,97.8861729096242,1.17418734236918,14.9343849782146,3,4.97812832607154,110,547.594115867869,1.42232237887758,
"A10","UNKNOWN",33.33,,"EColi",118,"11/29/18","Site 5",385,1,1,-3.37364331735221,36.7962892809033,0.997697017552355,97.8861729096242,1.02746169492033,10.6527490152606,3,3.5509163384202,110,390.600797226222,1.01454752526291,0.716481863522228
"A11","UNKNOWN",34.793,,"EColi",118,"11/29/18","Site 5",385,10,1,-3.37364331735221,36.7962892809033,0.997697017552355,97.8861729096242,0.593805892460384,3.92469482300665,3,13.0823160766888,110,1439.05476843577,3.73780459333967,
"B3","UNKNOWN",34.318,,"EColi",103,"11/29/18","Site 17",470,1,1,-3.37364331735221,36.7962892809033,0.997697017552355,97.8861729096242,0.734603230921405,5.42754247586034,3,1.80918082528678,110,199.009890781546,0.423425299535204,
"B4","UNKNOWN",34.703,,"EColi",103,"11/29/18","Site 17",470,1,1,-3.37364331735221,36.7962892809033,0.997697017552355,97.8861729096242,0.620483282905629,4.17333533931603,3,1.39111177977201,110,153.022295774921,0.325579352712598,0.438589481147048
"B5","UNKNOWN",,,"EColi",103,"11/29/18","Site 17",470,10,1,-3.37364331735221,36.7962892809033,0.997697017552355,97.8861729096242,,,3,,110,,,2.85863961537997
"B6","UNKNOWN",36.962,,"EColi",111,"11/29/18","Site 9",395,1,1,-3.37364331735221,36.7962892809033,0.997697017552355,97.8861729096242,-0.0491192172700471,0.893060297967258,3,0.297686765989086,110,32.7455442587995,0.0829001120475936,
"B7","UNKNOWN",36.631,,"EColi",111,"11/29/18","Site 9",395,1,1,-3.37364331735221,36.7962892809033,0.997697017552355,97.8861729096242,0.0489942964785809,1.11942318216127,3,0.373141060720423,110,41.0455166792466,0.103912700453789,0.44622502549308
"B8","UNKNOWN",,,"EColi",111,"11/29/18","Site 9",395,10,1,-3.37364331735221,36.7962892809033,0.997697017552355,97.8861729096242,,,3,,110,,,1.30359862565512
"B9","UNKNOWN",33.099,,"EColi",119,"11/29/18","Site 5",375,1,1,-3.37364331735221,36.7962892809033,0.997697017552355,97.8861729096242,1.09593366372979,12.471929973148,3,4.15730999104935,110,457.304099015428,1.21947759737447,
"B10","UNKNOWN",35.423,,"EColi",119,"11/29/18","Site 5",375,1,1,-3.37364331735221,36.7962892809033,0.997697017552355,97.8861729096242,0.407064159343661,2.5530784470767,3,0.851026149025567,110,93.6128763928123,0.2496343370475,2.05822483249339
"B11","UNKNOWN",35.001,,"EColi",119,"11/29/18","Site 5",375,10,1,-3.37364331735221,36.7962892809033,0.997697017552355,97.8861729096242,0.532151478986927,3.40526942491146,3,11.3508980830382,110,1248.5987891342,3.32959677102454,1.59956956848217
"C3","UNKNOWN",33.822,,"EColi",104,"11/29/18","Site 17",390,1,1,-3.37364331735221,36.7962892809033,0.997697017552355,97.8861729096242,0.881625293819648,7.61421777261537,3,2.53807259087179,110,279.187984995897,0.715866628194608,
