"Pos","Name","CT","Amount..Copies.","Target","SampleIDNum","Date","Location","Volume","DilutionFactor","plate_num","standard_slope","standard_intercept","R2","efficiency","log.copies.well","copies.well","vol.well","copies.ul","vol.elution","copies.extraction","copies.ml","averaged"
"A3","UNKNOWN",32.663,,"genbac",102,"11/29/18","Site 17",525,1,1,-3.40335375367438,39.6088700102378,0.996932964043262,96.7106239106007,2.04088981427181,109.87270438147,3,36.6242347938232,110,4028.66582732055,7.67364919489628,8.52036164251935
"A4","UNKNOWN",32.639,,"genbac",102,"11/29/18","Site 17",525,1,1,-3.40335375367438,39.6088700102378,0.996932964043262,96.7106239106007,2.04794168185216,111.671328266295,3,37.223776088765,110,4094.61536976415,7.79926737097932,14.2182479942451
"A5","UNKNOWN",35.662,,"genbac",102,"11/29/18","Site 17",525,10,1,-3.40335375367438,39.6088700102378,0.996932964043262,96.7106239106007,1.15970019454387,14.4444228814998,3,48.1480762716661,110,5296.28838988327,10.0881683616824,54.3139361956458
"A6","UNKNOWN",28.602,,"genbac",110,"11/29/18","Site 11",425,1,1,-3.40335375367438,39.6088700102378,0.996932964043262,96.7106239106007,3.23412457443026,1714.44901507,3,571.483005023332,110,62863.1305525666,147.91324835898,7.69727289149066
"A7","UNKNOWN",28.986,,"genbac",110,"11/29/18","Site 11",425,1,1,-3.40335375367438,39.6088700102378,0.996932964043262,96.7106239106007,3.12129469314465,1322.19251157864,3,440.730837192881,110,48480.3920912169,114.071510802863,44.2351607704775
"A8","UNKNOWN",32.086,,"genbac",110,"11/29/18","Site 11",425,10,1,-3.40335375367438,39.6088700102378,0.996932964043262,96.7106239106007,2.21042846401607,162.341092396045,3,541.136974653482,110,59525.067211883,140.058981675019,75.3456043845681
"A9","UNKNOWN",29.065,,"genbac",118,"11/29/18","Site 5",385,1,1,-3.40335375367438,39.6088700102378,0.996932964043262,96.7106239106007,3.09808229569267,1253.37865871553,3,417.792886238509,110,45957.217486236,119.369396068145,18.078251689816
"A10","UNKNOWN",29.421,,"genbac",118,"11/29/18","Site 5",385,1,1,-3.40335375367438,39.6088700102378,0.996932964043262,96.7106239106007,2.9934795932508,985.098353642703,3,328.366117880901,110,36120.2729668991,93.8188908231146,66.1163305623775
"A11","UNKNOWN",31.858,,"genbac",118,"11/29/18","Site 5",385,10,1,-3.40335375367438,39.6088700102378,0.996932964043262,96.7106239106007,2.2774212060294,189.417982247128,3,631.393274157095,110,69453.2601572804,180.398078330598,134.014580278954
"B3","UNKNOWN",31.978,,"genbac",103,"11/29/18","Site 17",470,1,1,-3.40335375367438,39.6088700102378,0.996932964043262,96.7106239106007,2.24216186812764,174.647296854159,3,58.215765618053,110,6403.73421798583,13.6249664212464,34.1248507190385
"B4","UNKNOWN",32.05,,"genbac",103,"11/29/18","Site 17",470,1,1,-3.40335375367438,39.6088700102378,0.996932964043262,96.7106239106007,2.22100626538659,166.343664790855,3,55.4478882636183,110,6099.26770899801,12.9771653382936,71.110597260619
"B5","UNKNOWN",35.139,,"genbac",103,"11/29/18","Site 17",470,10,1,-3.40335375367438,39.6088700102378,0.996932964043262,96.7106239106007,1.31337214223234,20.5765302133685,3,68.5884340445615,110,7544.72774490176,16.0526122231952,336.80144959583
"B6","UNKNOWN",30.917,,"genbac",111,"11/29/18","Site 9",395,1,1,-3.40335375367438,39.6088700102378,0.996932964043262,96.7106239106007,2.5539131807423,358.024857654107,3,119.341619218036,110,13127.5781139839,33.2343749721112,63.2688305865988
"B7","UNKNOWN",30.845,,"genbac",111,"11/29/18","Site 9",395,1,1,-3.40335375367438,39.6088700102378,0.996932964043262,96.7106239106007,2.57506878348335,375.896934064198,3,125.298978021399,110,13782.8875823539,34.8933862844404,131.800796633892
"B8","UNKNOWN",34.276,,"genbac",111,"11/29/18","Site 9",395,10,1,-3.40335375367438,39.6088700102378,0.996932964043262,96.7106239106007,1.5669455473091,36.8931338337893,3,122.977112779298,110,13527.4824057228,34.2467909005639,236.373325634489
"B9","UNKNOWN",28.058,,"genbac",119,"11/29/18","Site 5",375,1,1,-3.40335375367438,39.6088700102378,0.996932964043262,96.7106239106007,3.39396690625153,2477.23328236176,3,825.744427453921,110,90831.8870199313,242.218365386483,72.9665662308045
"B10","UNKNOWN",27.985,,"genbac",119,"11/29/18","Site 5",375,1,1,-3.40335375367438,39.6088700102378,0.996932964043262,96.7106239106007,3.41541633680843,2602.65340371571,3,867.551134571905,110,95430.6248029095,254.481666141092,131.195455073953
"B11","UNKNOWN",31.459,,"genbac",119,"11/29/18","Site 5",375,10,1,-3.40335375367438,39.6088700102378,0.996932964043262,96.7106239106007,2.39465850455272,248.118132975878,3,827.060443252927,110,90976.648757822,242.604396687525,246.434809405034
