"Pos","Name","CT","Amount..Copies.","Target","SampleIDNum","Date","Location","Volume","DilutionFactor","plate_num","standard_slope","standard_intercept","R2","efficiency","log.copies.well","copies.well","vol.well","copies.ul","vol.elution","copies.extraction","copies.ml"
"A3","UNKNOWN",33.906,,"entero",174,"2/18/19","S1-B",415,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,1.14811684039605,14.0642585095046,3,4.68808616983487,110,515.689478681836,1.24262524983575
"A4","UNKNOWN",32.607,,"entero",174,"2/18/19","S1-B",415,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,1.53014853705305,33.896006716857,3,11.298668905619,110,1242.85357961809,2.99482790269419
"A5","UNKNOWN",35.925,,"entero",174,"2/18/19","S1-B",415,"10",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,0.554335473536557,3.58373157838122,3,11.9457719279374,110,1314.03491207311,3.16634918571834
"A6","UNKNOWN",31.654,,"entero",182,"2/18/19","S3-S",405,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,1.81042275330718,64.628303129799,3,21.542767709933,110,2369.70444809263,5.85112209405587
"A7","UNKNOWN",31.849,,"entero",182,"2/18/19","S3-S",405,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,1.75307388429401,56.6335628620593,3,18.8778542873531,110,2076.56397160884,5.12731844841689
"A8","UNKNOWN",35.623,,"entero",182,"2/18/19","S3-S",405,"10",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,0.643152696315936,4.39696183797528,3,14.6565394599176,110,1612.21934059094,3.98078849528626
"A9","UNKNOWN",32.676,,"entero",190,"2/18/19","S6-M",375,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,1.50985586032531,32.3486276000256,3,10.7828758666752,110,1186.11634533427,3.16297692089139
"A10","UNKNOWN",33.209,,"entero",190,"2/18/19","S6-M",375,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,1.35310228502263,22.5477019302615,3,7.5159006434205,110,826.749070776255,2.20466418873668
"A11","UNKNOWN",38.969,,"entero",190,"2/18/19","S6-M",375,"10",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,-0.340895076597319,0.456147105528792,3,1.52049035176264,110,167.25393869389,0.446010503183708
"B3","UNKNOWN",36.012,,"entero",175,"2/18/19","S1-M",375,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,0.528749055053755,3.37869551300363,3,1.12623183766788,110,123.885502143466,0.330361339049244
"B4","UNKNOWN",37.671,,"entero",175,"2/18/19","S1-M",375,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,0.0408425232955101,1.09860740829579,3,0.366202469431929,110,40.2822716375122,0.107419391033366
"B5","UNKNOWN",44.256,,"entero",175,"2/18/19","S1-M",375,"10",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,-1.89578466876479,0.0127120423554789,3,0.0423734745182631,110,4.66108219700894,0.0124295525253572
"B6","UNKNOWN",33.15,,"entero",183,"2/18/19","S4-B",390,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,1.37045399410867,23.4668065981808,3,7.82226886606026,110,860.449575266628,2.20628096222212
"B7","UNKNOWN",33.454,,"entero",183,"2/18/19","S4-B",390,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,1.28104857780095,19.1006689623429,3,6.36688965411429,110,700.357861952572,1.79578938962198
"B8","UNKNOWN",35.456,,"entero",183,"2/18/19","S4-B",390,"10",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,0.692266855932346,4.92341966458515,3,16.4113988819505,110,1805.25387701455,4.62885609490912
"B9","UNKNOWN",32.451,,"entero",191,"2/18/19","S6-S",320,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,1.57602763226359,37.6727767766046,3,12.5575922588682,110,1381.3351484755,4.31667233898594
"B10","UNKNOWN",32.378,,"entero",191,"2/18/19","S6-S",320,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,1.59749669604801,39.5819053579121,3,13.1939684526374,110,1451.33652979011,4.5354266555941
"B11","UNKNOWN",35.184,,"entero",191,"2/18/19","S6-S",320,"10",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,0.772261175786623,5.9191749419197,3,19.7305831397323,110,2170.36414537056,6.78238795428299
"C3","UNKNOWN",34.333,,"entero",176,"2/18/19","S1-S",365,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,1.0225375220954,10.5326468296863,3,3.51088227656211,110,386.197050421832,1.05807411074475
"C4","UNKNOWN",33.744,,"entero",176,"2/18/19","S1-S",365,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,1.19576051619161,15.6949709498335,3,5.23165698327785,110,575.482268160563,1.5766637483851
"C5","UNKNOWN",37.636,,"entero",176,"3/22/19","S1-S",365,"10",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,0.0511359100414637,1.12495696791002,3,3.74985655970008,110,412.484221567008,1.13009375771783
"C6","UNKNOWN",32.716,,"entero",184,"2/18/19","S4-M",380,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,1.4980919897585,31.4841512265635,3,10.4947170755212,110,1154.41887830733,3.03794441659823
"C7","UNKNOWN",32.666,,"entero",184,"2/18/19","S4-M",380,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,1.51279682796701,32.5684303435256,3,10.8561434478419,110,1194.1757792626,3.14256784016475
"C8","UNKNOWN",35.548,,"entero",184,"2/18/19","S4-M",380,"10",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,0.665209953628695,4.62604607115298,3,15.4201535705099,110,1696.21689275609,4.46372866514761
"C9","UNKNOWN",36.613,,"entero",192,"2/18/19","S7-B",335,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,0.351996899787507,2.24903855100988,3,0.749679517003292,110,82.4647468703621,0.246163423493618
"C10","UNKNOWN",36.055,,"entero",192,"2/18/19","S7-B",335,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,0.51610289419444,3.28173035524673,3,1.09391011841558,110,120.330113025714,0.359194367240936
"C11","UNKNOWN",38.904,,"entero",192,"2/18/19","S7-B",335,"10",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,-0.321778786926261,0.476673724425848,3,1.58891241475283,110,174.780365622811,0.521732434694958
"D3","UNKNOWN",34.282,,"entero",177,"2/18/19","S2-B",370,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,1.03753645706808,10.9027601231035,3,3.63425337436785,110,399.767871180463,1.08045370589314
"D4","UNKNOWN",35.152,,"entero",177,"2/18/19","S2-B",370,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,0.781672272240067,6.04884244097847,3,2.01628081365949,110,221.790889502544,0.599434836493362
"D5","UNKNOWN",40.372,,"entero",177,"2/18/19","S2-B",370,"10",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,-0.753512836728011,0.176395362536689,3,0.587984541788963,110,64.6782995967859,0.174806215126448
"D6","UNKNOWN",33.059,,"entero",185,"2/18/19","S4-S",215,"1",9,-3.4002414233348,37.8098744395429,0.999061003859041,96.8324798844924,1.39721679964815,24.9584033860617,3,8.31946779535389,110,915.141457488928,4.25647189529734
