Pos,Name,CT,Amount [Copies],Target,SampleIDNum,Date,Location,Volume,DilutionFactor
A1,STANDARD,21.302,50000.00,EColi,St1,,,,1
A2,STANDARD,20.976,50000.00,EColi,St1,,,,1
B1,STANDARD,23.251,10000.00,EColi,St2,,,,1
B2,STANDARD,22.671,10000.00,EColi,St2,,,,1
C1,STANDARD,24.496,5000.00,EColi,St3,,,,1
C2,STANDARD,24.058,5000.00,EColi,St3,,,,1
D1,STANDARD,26.337,1000.00,EColi,St4,,,,1
D2,STANDARD,26.63,1000.00,EColi,St4,,,,1
E1,STANDARD,27.808,500.00,EColi,St5,,,,1
E2,STANDARD,27.753,500.00,EColi,St5,,,,1
F1,STANDARD,30.197,100.00,EColi,St6,,,,1
F2,STANDARD,29.657,100.00,EColi,St6,,,,1
G1,STANDARD,31.191,50.00,EColi,St7,,,,1
G2,STANDARD,31.338,50.00,EColi,St7,,,,1
H1,STANDARD,33.105,10.00,EColi,St8,,,,1
H2,STANDARD,33.539,10.00,EColi,St8,,,,1
A3,UNKNOWN,33.843,,EColi,174,2/18/19,,415,1
A4,UNKNOWN,33.372,,EColi,174,2/18/19,,415,1
A5,UNKNOWN,37.269,,EColi,174,2/18/19,,415,10
A6,UNKNOWN,29.702,,EColi,182,2/18/19,,405,1
A7,UNKNOWN,30.036,,EColi,182,2/18/19,,405,1
A8,UNKNOWN,32.976,,EColi,182,2/18/19,,405,10
A9,UNKNOWN,30.277,,EColi,190,2/18/19,,375,1
A10,UNKNOWN,29.988,,EColi,190,2/18/19,,375,1
A11,UNKNOWN,34.155,,EColi,190,2/18/19,,375,10
B3,UNKNOWN,36.349,,EColi,175,2/18/19,,375,1
B4,UNKNOWN,35.854,,EColi,175,2/18/19,,375,1
B5,UNKNOWN,38.25,,EColi,175,2/18/19,,375,10
B6,UNKNOWN,31.702,,EColi,183,2/18/19,,390,1
B7,UNKNOWN,31.733,,EColi,183,2/18/19,,390,1
B8,UNKNOWN,34.349,,EColi,183,2/18/19,,390,10
B9,UNKNOWN,30.605,,EColi,191,2/18/19,,320,1
B10,UNKNOWN,31.14,,EColi,191,2/18/19,,320,1
B11,UNKNOWN,33.621,,EColi,191,2/18/19,,320,10
C3,UNKNOWN,32.429,,EColi,176,2/18/19,,365,1
C4,UNKNOWN,32.212,,EColi,176,2/18/19,,365,1
C5,UNKNOWN,36.518,,EColi,176,3/22/19,,365,10
C6,UNKNOWN,29.945,,EColi,184,2/18/19,,380,1
C7,UNKNOWN,29.908,,EColi,184,2/18/19,,380,1
C8,UNKNOWN,33.725,,EColi,184,2/18/19,,380,10
C9,UNKNOWN,33.37,,EColi,192,2/18/19,,335,1
C10,UNKNOWN,32.965,,EColi,192,2/18/19,,335,1
C11,UNKNOWN,,,EColi,192,2/18/19,,335,10
D3,UNKNOWN,35.066,,EColi,177,2/18/19,,370,1
D4,UNKNOWN,34.501,,EColi,177,2/18/19,,370,1
D5,UNKNOWN,,,EColi,177,2/18/19,,370,10
D6,UNKNOWN,29.942,,EColi,185,2/18/19,,215,1
D7,UNKNOWN,30.313,,EColi,185,2/18/19,,215,1
D8,UNKNOWN,33.214,,EColi,185,2/18/19,,215,10
D9,UNKNOWN,29.972,,EColi,193,2/18/19,,340,1
D10,UNKNOWN,30.064,,EColi,193,2/18/19,,340,1
D11,UNKNOWN,33.159,,EColi,193,2/18/19,,340,10
E3,UNKNOWN,35.192,,EColi,178,2/18/19,,350,1
E4,UNKNOWN,35.231,,EColi,178,2/18/19,,350,1
E5,UNKNOWN,,,EColi,178,2/18/19,,350,10
E6,UNKNOWN,31.881,,EColi,186,2/18/19,,435,1
E7,UNKNOWN,31.316,,EColi,186,2/18/19,,435,1
E8,UNKNOWN,34.86,,EColi,186,2/18/19,,435,10
E9,UNKNOWN,29.133,,EColi,194,2/18/19,,350,1
E10,UNKNOWN,28.498,,EColi,194,2/18/19,,350,1
E11,UNKNOWN,31.969,,EColi,194,2/18/19,,350,10
F3,UNKNOWN,30.463,,EColi,179,2/18/19,,310,1
F4,UNKNOWN,30.26,,EColi,179,2/18/19,,310,1
F5,UNKNOWN,33.826,,EColi,179,2/18/19,,310,10
F6,UNKNOWN,29.624,,EColi,187,2/18/19,,420,1
F7,UNKNOWN,29.338,,EColi,187,2/18/19,,420,1
