"SampleIDNum","copies.ml"
174,0.724620873424045
175,0.223094243641811
176,1.79142523470881
177,0.390917647227196
178,0.303075747070151
179,9.16910003850435
180,0.177532722197905
181,0.632584933484007
182,10.7119739443192
183,3.59446852388603
184,9.39084158945703
185,17.0234902610505
186,2.97630601563926
187,12.0574194770715
188,9.5164206373024
189,6.70457675049967
190,7.97852280761566
191,7.59236384514621
192,1.28752994831981
193,11.3857729739211
194,25.3898413085833
195,1.81951903424232
196,1.8368188018864
197,1.62525436463405
