"SampleIDNum","copies.ml"
174,2.48274817755759
175,0.151220998540466
176,1.26320577873281
177,0.62232729964552
178,1.99029575620972
179,6.28177364610809
180,0.872170871449176
181,1.04840197621812
182,5.01125107999261
183,2.89465672197281
184,3.56850047881348
185,6.61028338688516
186,6.59098855418728
187,2.20317515336707
188,1.9118558190909
189,3.25263161851083
190,1.94832516605832
191,5.24049722167339
192,0.378803443825021
193,0.546510756240858
194,0.912501643838602
195,1.20684567547973
196,46.7184613626455
197,0.796128357802059
